YEVMİYE DEFTERİ;;;;;
ALANYA ÖZKAN KIRTASİYE MAT.YAY.İNŞ.TİC.LTD.ŞTİ.;;;;;
Dönem :;01/01/2025-31/12/2025;;;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 07/06 İşyeri no:000000000771359,Tutar : 1007,4 Komisyon : 0,Bloke No : 1391963335, BT: 14 05 2025, ÇT:06;1.007,40;;
FİŞ AÇIKLAMA : ;ZİRAATBANK;;;;
TOPLAM :;;;;29.832,50;29.832,50
;;;;;
06480-----06480-----MAHSUP-----07/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
102;BANKALAR;   ;;1.118,30;
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 07/06 1801374784X070625100425TAKSİTSATIŞ;1.118,30;;
760;PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ;   ;;13,50;
   760.13;BANKA POS GİDERLERİ;BE 70313050042140 07/06 1801374784X070625100425ÜYE İŞYERİ ÜCRETİ - TAKSİT;12,86;;
   760.13;BANKA POS GİDERLERİ;BE 70313050042140 07/06 1801374784X070625100425ÜYE İŞYERİ ÜCRETİ - TAKSİT BSMV;0,64;;
102;BANKALAR;   ;;;13,50
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 07/06 1801374784X070625100425ÜYE İŞYERİ ÜCRETİ - TAKSİT;12,86;;
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 07/06 1801374784X070625100425ÜYE İŞYERİ ÜCRETİ - TAKSİT BSMV;0,64;;
108;DİĞER HAZIR DEĞERLER;   ;;;1.118,30
   108.19;FENERİUM KREDİ KARTI SATIŞLARI;BE 70313050042140 07/06 1801374784X070625100425TAKSİTSATIŞ;1.118,30;;
FİŞ AÇIKLAMA : ;YKB;;;;
TOPLAM :;;;;1.131,80;1.131,80
;;;;;
06481-----06481-----MAHSUP-----08/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
102;BANKALAR;   ;;15.500,00;
   102.04;HALKBANK 10260200 NOLU HESAP;BE 70210540042010 08/06 BATCH VALOR ÇOZUM 28-04-2025 000000001120365 P POS Satış 01583277028;4.750,00;;
   102.04;HALKBANK 10260200 NOLU HESAP;BE 70210540042010 08/06 BATCH VALOR ÇOZUM 28-04-2025 000000001120365 P POS Satış 01583277016;5.000,00;;
   102.04;HALKBANK 10260200 NOLU HESAP;BE 70210540042010 08/06 BATCH VALOR ÇOZUM 28-04-2025 000000001120365 P POS Satış 01583277015;5.750,00;;
108;DİĞER HAZIR DEĞERLER;   ;;;15.500,00
   108.01;KREDİ KARTI SATIŞLARI;BE 70210540042010 08/06 BATCH VALOR ÇOZUM 28-04-2025 000000001120365 P POS Satış 01583277016;5.000,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70210540042010 08/06 BATCH VALOR ÇOZUM 28-04-2025 000000001120365 P POS Satış 01583277015;5.750,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70210540042010 08/06 BATCH VALOR ÇOZUM 28-04-2025 000000001120365 P POS Satış 01583277028;4.750,00;;
FİŞ AÇIKLAMA : ;HALKBANK;;;;
TOPLAM :;;;;15.500,00;15.500,00
;;;;;
06482-----06482-----MAHSUP-----08/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
102;BANKALAR;   ;;38.067,97;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 788,2 Komisyon : 0,Bloke No : 1393973977, BT: 15 05 2025, ÇT:07 0;788,20;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 852 Komisyon : 0,Bloke No : 1393973975, BT: 15 05 2025, ÇT:07 06;852,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 2800 Komisyon : 0,Bloke No : 1393973953, BT: 15 05 2025, ÇT:07 06;2.800,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 370 Komisyon : 0,Bloke No : 1393973964, BT: 15 05 2025, ÇT:07 06;370,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 1990,4 Komisyon : 0,Bloke No : 1393973954, BT: 15 05 2025, ÇT:07;1.990,40;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 1648 Komisyon : 0,Bloke No : 1393973968, BT: 15 05 2025, ÇT:07 06;1.648,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 7900 Komisyon : 0,Bloke No : 1393973956, BT: 15 05 2025, ÇT:07 06;7.900,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 30 Komisyon : 0,Bloke No : 1393973973, BT: 15 05 2025, ÇT:07 06 2;30,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 5092,3 Komisyon : 0,Bloke No : 1393973958, BT: 15 05 2025, ÇT:07;5.092,30;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 6264,9 Komisyon : 0,Bloke No : 1393973970, BT: 15 05 2025, ÇT:07;6.264,90;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 390,6 Komisyon : 0,Bloke No : 1393973960, BT: 15 05 2025, ÇT:07 0;390,60;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 751,55 Komisyon : 0,Bloke No : 1393973966, BT: 15 05 2025, ÇT:07;751,55;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 832,5 Komisyon : 0,Bloke No : 1393973961, BT: 15 05 2025, ÇT:07 0;832,50;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 691 Komisyon : 0,Bloke No : 1393973972, BT: 15 05 2025, ÇT:07 06;691,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 7250,7 Komisyon : 0,Bloke No : 1393973962, BT: 15 05 2025, ÇT:07;7.250,70;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 415,82 Komisyon : 0,Bloke No : 1393973967, BT: 15 05 2025, ÇT:07;415,82;;
108;DİĞER HAZIR DEĞERLER;   ;;;38.067,97
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 2800 Komisyon : 0,Bloke No : 1393973953, BT: 15 05 2025, ÇT:07 06;2.800,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 1990,4 Komisyon : 0,Bloke No : 1393973954, BT: 15 05 2025, ÇT:07;1.990,40;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 7900 Komisyon : 0,Bloke No : 1393973956, BT: 15 05 2025, ÇT:07 06;7.900,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 5092,3 Komisyon : 0,Bloke No : 1393973958, BT: 15 05 2025, ÇT:07;5.092,30;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 390,6 Komisyon : 0,Bloke No : 1393973960, BT: 15 05 2025, ÇT:07 0;390,60;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 832,5 Komisyon : 0,Bloke No : 1393973961, BT: 15 05 2025, ÇT:07 0;832,50;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 7250,7 Komisyon : 0,Bloke No : 1393973962, BT: 15 05 2025, ÇT:07;7.250,70;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 415,82 Komisyon : 0,Bloke No : 1393973967, BT: 15 05 2025, ÇT:07;415,82;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 1648 Komisyon : 0,Bloke No : 1393973968, BT: 15 05 2025, ÇT:07 06;1.648,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 6264,9 Komisyon : 0,Bloke No : 1393973970, BT: 15 05 2025, ÇT:07;6.264,90;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 691 Komisyon : 0,Bloke No : 1393973972, BT: 15 05 2025, ÇT:07 06;691,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 370 Komisyon : 0,Bloke No : 1393973964, BT: 15 05 2025, ÇT:07 06;370,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 751,55 Komisyon : 0,Bloke No : 1393973966, BT: 15 05 2025, ÇT:07;751,55;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 30 Komisyon : 0,Bloke No : 1393973973, BT: 15 05 2025, ÇT:07 06 2;30,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 788,2 Komisyon : 0,Bloke No : 1393973977, BT: 15 05 2025, ÇT:07 0;788,20;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 08/06 İşyeri no:000000000771359,Tutar : 852 Komisyon : 0,Bloke No : 1393973975, BT: 15 05 2025, ÇT:07 06;852,00;;
FİŞ AÇIKLAMA : ;ZİRAATBANK;;;;
TOPLAM :;;;;38.067,97;38.067,97
;;;;;
06483-----06483-----MAHSUP-----08/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
102;BANKALAR;   ;;1.669,25;
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 08/06 1801374784X080625280425PEŞİNSATIŞ;1.669,25;;
108;DİĞER HAZIR DEĞERLER;   ;;;1.669,25
   108.19;FENERİUM KREDİ KARTI SATIŞLARI;BE 70313050042140 08/06 1801374784X080625280425PEŞİNSATIŞ;1.669,25;;
FİŞ AÇIKLAMA : ;YKB;;;;
TOPLAM :;;;;1.669,25;1.669,25
;;;;;
06484-----06484-----MAHSUP-----09/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
431;ORTAKLARA BORÇLAR;   ;;25.000,00;
   431.01;MEHMET ÖZKAN;MF 070209071041920 09/06 ÖDENEN;25.000,00;;
100;KASA;   ;;;25.000,00
   100.01;NAKİT KASASI TL;MF 070209071041920 09/06 ÖDENEN;25.000,00;;
FİŞ AÇIKLAMA : ;ÖDEMELER;;;;
TOPLAM :;;;;25.000,00;25.000,00
;;;;;
06485-----06485-----MAHSUP-----09/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
102;BANKALAR;   ;;3.325,10;
   102.02;AKBANK 1330-0013212 NOLU HESAP;BE 70113291141890 09/06 001116426 YI-EC AKPOS PES ODE 20250430;0,10;;
   102.02;AKBANK 1330-0013212 NOLU HESAP;BE 70113291141890 09/06 001116426 YI-TY AKPOS PES ODE 20250430;225,00;;
   102.02;AKBANK 1330-0013212 NOLU HESAP;BE 70113291141890 09/06 001116426 AX-MC AKPOS PES ODE 20250430;3.100,00;;
108;DİĞER HAZIR DEĞERLER;   ;;;3.325,10
   108.01;KREDİ KARTI SATIŞLARI;BE 70113291141890 09/06 001116426 YI-TY AKPOS PES ODE 20250430;225,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70113291141890 09/06 001116426 AX-MC AKPOS PES ODE 20250430;3.100,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70113291141890 09/06 001116426 YI-EC AKPOS PES ODE 20250430;0,10;;
FİŞ AÇIKLAMA : ;AKBANK;;;;
TOPLAM :;;;;3.325,10;3.325,10
;;;;;
06486-----06486-----MAHSUP-----09/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
102;BANKALAR;   ;;1.290,00;
   102.04;HALKBANK 10260200 NOLU HESAP;BE 70210540042010 09/06 BATCH VALOR ÇOZUM 29-04-2025 000000001120365 P POS Satış 01584133888;105,00;;
   102.04;HALKBANK 10260200 NOLU HESAP;BE 70210540042010 09/06 BATCH VALOR ÇOZUM 29-04-2025 000000001120365 P POS Satış 01584133898;185,00;;
   102.04;HALKBANK 10260200 NOLU HESAP;BE 70210540042010 09/06 BATCH VALOR ÇOZUM 29-04-2025 000000001120365 P POS Satış 01584133889;1.000,00;;
108;DİĞER HAZIR DEĞERLER;   ;;;1.290,00
   108.01;KREDİ KARTI SATIŞLARI;BE 70210540042010 09/06 BATCH VALOR ÇOZUM 29-04-2025 000000001120365 P POS Satış 01584133898;185,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70210540042010 09/06 BATCH VALOR ÇOZUM 29-04-2025 000000001120365 P POS Satış 01584133889;1.000,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70210540042010 09/06 BATCH VALOR ÇOZUM 29-04-2025 000000001120365 P POS Satış 01584133888;105,00;;
FİŞ AÇIKLAMA : ;HALKBANK;;;;
TOPLAM :;;;;1.290,00;1.290,00
;;;;;
06487-----06487-----MAHSUP-----09/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
102;BANKALAR;   ;;29.048,69;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 651,4 Komisyon : 0,Bloke No : 1396111538, BT: 16 05 2025, ÇT:08 0;651,40;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 7210,54 Komisyon : 0,Bloke No : 1396111552, BT: 16 05 2025, ÇT:08;7.210,54;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 787,5 Komisyon : 0,Bloke No : 1396111541, BT: 16 05 2025, ÇT:08 0;787,50;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 310 Komisyon : 0,Bloke No : 1396111556, BT: 16 05 2025, ÇT:08 06;310,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 6149,19 Komisyon : 0,Bloke No : 1396111542, BT: 16 05 2025, ÇT:08;6.149,19;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 4398,26 Komisyon : 0,Bloke No : 1396111553, BT: 16 05 2025, ÇT:08;4.398,26;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 639,4 Komisyon : 0,Bloke No : 1396111549, BT: 16 05 2025, ÇT:08 0;639,40;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 548 Komisyon : 0,Bloke No : 1396111555, BT: 16 05 2025, ÇT:08 06;548,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 2876,5 Komisyon : 0,Bloke No : 1396111545, BT: 16 05 2025, ÇT:08;2.876,50;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 495 Komisyon : 0,Bloke No : 1396111547, BT: 16 05 2025, ÇT:08 06;495,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 1314 Komisyon : 0,Bloke No : 1396111546, BT: 16 05 2025, ÇT:08 06;1.314,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 2168 Komisyon : 0,Bloke No : 1396111558, BT: 16 05 2025, ÇT:08 06;2.168,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 470,9 Komisyon : 0,Bloke No : 1396111550, BT: 16 05 2025, ÇT:08 0;470,90;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 1030 Komisyon : 0,Bloke No : 1396111543, BT: 16 05 2025, ÇT:08 06;1.030,00;;
108;DİĞER HAZIR DEĞERLER;   ;;;29.048,69
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 787,5 Komisyon : 0,Bloke No : 1396111541, BT: 16 05 2025, ÇT:08 0;787,50;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 6149,19 Komisyon : 0,Bloke No : 1396111542, BT: 16 05 2025, ÇT:08;6.149,19;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 1030 Komisyon : 0,Bloke No : 1396111543, BT: 16 05 2025, ÇT:08 06;1.030,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 2876,5 Komisyon : 0,Bloke No : 1396111545, BT: 16 05 2025, ÇT:08;2.876,50;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 1314 Komisyon : 0,Bloke No : 1396111546, BT: 16 05 2025, ÇT:08 06;1.314,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 470,9 Komisyon : 0,Bloke No : 1396111550, BT: 16 05 2025, ÇT:08 0;470,90;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 7210,54 Komisyon : 0,Bloke No : 1396111552, BT: 16 05 2025, ÇT:08;7.210,54;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 4398,26 Komisyon : 0,Bloke No : 1396111553, BT: 16 05 2025, ÇT:08;4.398,26;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 495 Komisyon : 0,Bloke No : 1396111547, BT: 16 05 2025, ÇT:08 06;495,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 639,4 Komisyon : 0,Bloke No : 1396111549, BT: 16 05 2025, ÇT:08 0;639,40;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 548 Komisyon : 0,Bloke No : 1396111555, BT: 16 05 2025, ÇT:08 06;548,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 310 Komisyon : 0,Bloke No : 1396111556, BT: 16 05 2025, ÇT:08 06;310,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 651,4 Komisyon : 0,Bloke No : 1396111538, BT: 16 05 2025, ÇT:08 0;651,40;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 09/06 İşyeri no:000000000771359,Tutar : 2168 Komisyon : 0,Bloke No : 1396111558, BT: 16 05 2025, ÇT:08 06;2.168,00;;
FİŞ AÇIKLAMA : ;ZİRAATBANK;;;;
TOPLAM :;;;;29.048,69;29.048,69
;;;;;
06488-----06488-----MAHSUP-----09/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
102;BANKALAR;   ;;20.861,10;
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 09/06 1801374784X090625080525PEŞİNSATIŞ;6.905,09;;
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 09/06 1801374784X090625290425PEŞİNSATIŞ;13.589,20;;
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 09/06 1801374784X090625120425TAKSİTSATIŞ;366,81;;
760;PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ;   ;;38,96;
   760.13;BANKA POS GİDERLERİ;BE 70313050042140 09/06 1801374784X090625120425ÜYE İŞYERİ ÜCRETİ - TAKSİT;4,21;;
   760.13;BANKA POS GİDERLERİ;BE 70313050042140 09/06 1801374784X090625120425ÜYE İŞYERİ ÜCRETİ - TAKSİT BSMV;0,21;;
   760.13;BANKA POS GİDERLERİ;BE 70313050042140 09/06 1801374784X090625080525PEŞİNSATIŞKATKIPAYI;34,54;;
102;BANKALAR;   ;;;38,96
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 09/06 1801374784X090625120425ÜYE İŞYERİ ÜCRETİ - TAKSİT;4,21;;
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 09/06 1801374784X090625120425ÜYE İŞYERİ ÜCRETİ - TAKSİT BSMV;0,21;;
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 09/06 1801374784X090625080525PEŞİNSATIŞKATKIPAYI;34,54;;
108;DİĞER HAZIR DEĞERLER;   ;;;20.861,10
   108.19;FENERİUM KREDİ KARTI SATIŞLARI;BE 70313050042140 09/06 1801374784X090625120425TAKSİTSATIŞ;366,81;;
   108.19;FENERİUM KREDİ KARTI SATIŞLARI;BE 70313050042140 09/06 1801374784X090625290425PEŞİNSATIŞ;13.589,20;;
   108.19;FENERİUM KREDİ KARTI SATIŞLARI;BE 70313050042140 09/06 1801374784X090625080525PEŞİNSATIŞ;6.905,09;;
FİŞ AÇIKLAMA : ;YKB;;;;
TOPLAM :;;;;20.900,06;20.900,06
;;;;;
06489-----06489-----MAHSUP-----09/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
100;KASA;   ;;7.700,30;
   100.01;NAKİT KASASI TL;ZR 0978 09/06 MERKEZ Z RAPORU;7.700,30;;
108;DİĞER HAZIR DEĞERLER;   ;;20.719,98;
   108.01;KREDİ KARTI SATIŞLARI;ZR 0978 09/06 MERKEZ Z RAPORU;20.719,98;;
391;HESAPLANAN KDV;   ;;;2.669,48
   391.010;% 10 HESAPLANAN KDV;ZR 0978 09/06 MERKEZ Z RAPORU;439,38;;
   391.020;% 20 HESAPLANAN KDV;ZR 0978 09/06 MERKEZ Z RAPORU;2.230,10;;
600;YURTİÇİ SATIŞLAR;   ;;;25.750,80
600.00;KDV SİZ SATIŞLARI;   ;10.206,50;;
   600.00.01;KDV SİZ KİTAP SATIŞLARI;ZR 0978 09/06 MERKEZ Z RAPORU;10.206,50;;
600.010;% 10 KDV Lİ SATIŞLAR;   ;4.393,82;;
   600.010.02;KIRTASİYE SATIŞLARI %10 KDVLİ;ZR 0978 09/06 MERKEZ Z RAPORU;4.393,82;;
600.020;%20 KDV Lİ SATIŞLAR;   ;11.150,48;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;ZR 0978 09/06 MERKEZ Z RAPORU;11.150,48;;
FİŞ AÇIKLAMA : ;Z RAPORU;;;;
TOPLAM :;;;;28.420,28;28.420,28
;;;;;
06490-----06490-----MAHSUP-----09/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
108;DİĞER HAZIR DEĞERLER;   ;;24.290,00;
   108.01;KREDİ KARTI SATIŞLARI;ZR 0032 09/06 KAFE Z RAPORU 2;24.290,00;;
391;HESAPLANAN KDV;   ;;;2.208,18
   391.010;% 10 HESAPLANAN KDV;ZR 0032 09/06 KAFE Z RAPORU 2;2.208,18;;
600;YURTİÇİ SATIŞLAR;   ;;;22.081,82
600.10;KAFE SATIŞLARI;   ;22.081,82;;
   600.10.10;YİYECEK İÇECEK SATIŞLARI %10 KDVLİ;ZR 0032 09/06 KAFE Z RAPORU 2;22.081,82;;
FİŞ AÇIKLAMA : ;Z RAPORU;;;;
TOPLAM :;;;;24.290,00;24.290,00
;;;;;
06491-----06491-----MAHSUP-----09/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
100;KASA;   ;;5.902,40;
   100.01;NAKİT KASASI TL;ZR 2341 09/06 FENERİUM Z RAPORU;5.902,40;;
108;DİĞER HAZIR DEĞERLER;   ;;21.649,35;
   108.19;FENERİUM KREDİ KARTI SATIŞLARI;ZR 2341 09/06 FENERİUM Z RAPORU;21.649,35;;
391;HESAPLANAN KDV;   ;;;2.635,95
   391.010;% 10 HESAPLANAN KDV;ZR 2341 09/06 FENERİUM Z RAPORU;2.347,21;;
   391.020;% 20 HESAPLANAN KDV;ZR 2341 09/06 FENERİUM Z RAPORU;288,74;;
600;YURTİÇİ SATIŞLAR;   ;;;24.915,80
600.19;FENERİUM SATIŞLAR;   ;24.915,80;;
   600.19.10;%10 KDVLİ MALZEME SATIŞLARI;ZR 2341 09/06 FENERİUM Z RAPORU;23.472,09;;
   600.19.20;% 20 KDV Lİ MALZEME SATIŞLARI;ZR 2341 09/06 FENERİUM Z RAPORU;1.443,71;;
FİŞ AÇIKLAMA : ;FENERİUM SATIŞ;;;;
TOPLAM :;;;;27.551,75;27.551,75
;;;;;
06492-----06492-----MAHSUP-----10/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
431;ORTAKLARA BORÇLAR;   ;;24.000,00;
   431.01;MEHMET ÖZKAN;MF 070209071041920 10/06 ÖDENEN;24.000,00;;
100;KASA;   ;;;24.000,00
   100.01;NAKİT KASASI TL;MF 070209071041920 10/06 ÖDENEN;24.000,00;;
FİŞ AÇIKLAMA : ;ÖDEMELER;;;;
TOPLAM :;;;;24.000,00;24.000,00
;;;;;
06493-----06493-----MAHSUP-----10/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
102;BANKALAR;   ;;5.875,00;
   102.02;AKBANK 1330-0013212 NOLU HESAP;BE 70113291141890 10/06 001116426 YI-DB AKPOS PES ODE 20250501;535,00;;
   102.02;AKBANK 1330-0013212 NOLU HESAP;BE 70113291141890 10/06 001116426 YI-VS AKPOS PES ODE 20250501;530,00;;
   102.02;AKBANK 1330-0013212 NOLU HESAP;BE 70113291141890 10/06 001116426 YI-TY AKPOS PES ODE 20250501;1.210,00;;
   102.02;AKBANK 1330-0013212 NOLU HESAP;BE 70113291141890 10/06 001116426 YI-EC AKPOS PES ODE 20250501;3.600,00;;
108;DİĞER HAZIR DEĞERLER;   ;;;5.875,00
   108.01;KREDİ KARTI SATIŞLARI;BE 70113291141890 10/06 001116426 YI-TY AKPOS PES ODE 20250501;1.210,00;;
